solute_inchi_std,molefrac,molefrac2,solute_smiles_canonical,solvent1_smiles_canonical,solvent2_smiles_canonical,Temperature [K],logS,Source,solvent1_density,solvent2_density,solvent_avg_density,solvent_density,solvent_smiles_canonical,MP_pred,MP_std,logS_calc,gamma
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.1031,0.8969,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,293.15,-1.38157393,10.1016/j.molliq.2020.112619,13.62629871,13.09112089,13.14434616,13.14434616,CC(C)=O,440.01352,11.598891,-0.5365911993643429,2.013394355773926
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.1031,0.8969,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,298.15,-1.286313971,10.1016/j.molliq.2020.112619,13.52721472,13.00993867,13.06143348,13.06143348,CC(C)=O,440.01352,11.598891,-0.4587763158714941,1.9555370807647705
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.1031,0.8969,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,303.15,-1.167475435,10.1016/j.molliq.2020.112619,13.42718462,12.92780494,12.97756694,12.97756694,CC(C)=O,440.01352,11.598891,-0.3824868601895501,1.8960051536560059
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.1031,0.8969,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,308.15,-1.052699097,10.1016/j.molliq.2020.112619,13.32617061,12.84468178,12.89270858,12.89270858,CC(C)=O,440.01352,11.598891,-0.3071819765261643,1.8332223892211914
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.1031,0.8969,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,313.15,-0.938799073,10.1016/j.molliq.2020.112619,13.22413242,12.76052875,12.80681794,12.80681794,CC(C)=O,440.01352,11.598891,-0.23202324156527418,1.764633059501648
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.1031,0.8969,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,318.15,-0.805966066,10.1016/j.molliq.2020.112619,13.12102703,12.67530267,12.7198518,12.7198518,CC(C)=O,440.01352,11.598891,-0.15763696682648856,1.6938574314117432
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.1031,0.8969,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,323.15,-0.675040058,10.1016/j.molliq.2020.112619,13.01680848,12.58895732,12.63176393,12.63176393,CC(C)=O,440.01352,11.598891,-0.08508688622374917,1.6256730556488037
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.2054,0.7946,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,293.15,-1.199169922,10.1016/j.molliq.2020.112619,13.62629871,13.09112089,13.19758794,13.19758794,CC(C)=O,440.01352,11.598891,-0.4874283191488323,1.8051841259002686
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.2054,0.7946,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,298.15,-1.082270791,10.1016/j.molliq.2020.112619,13.52721472,13.00993867,13.11293322,13.11293322,CC(C)=O,440.01352,11.598891,-0.4102089695500448,1.7555277347564697
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.2054,0.7946,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,303.15,-0.982598042,10.1016/j.molliq.2020.112619,13.42718462,12.92780494,13.02732291,13.02732291,CC(C)=O,440.01352,11.598891,-0.33342666449255814,1.6999698877334595
